   Satellite ID          GPS Time         Pseudorange       Carrier Phase       C/N
             93        369359.000        39113945.319       203676574.241        42
            100        369359.000        22294148.873       116091478.924        49
            103        369359.000        36692708.464       191068558.717        47
             89        369359.000        37054699.184       192953537.565        46
             90        369359.000        37456723.408       195046982.993        43
             91        369359.000        36239961.326       188710983.910        47
             92        369359.000        38407005.535       199995350.319        42
              9        369359.000        25288110.284       132889921.167        37
             99        369359.000        25293545.364       131710125.770        43
              1        369360.000        20265049.909       106493508.388        50
              7        369360.000        20417752.349       107295999.133        49
              8        369360.000        23498061.330       123483142.438        44
             11        369360.000        20780134.198       109200323.132        49
             17        369360.000        23588383.151       123957800.609        44
             22        369360.000        23068583.359       121226187.756        44
             28        369360.000        23251477.189       122187332.395        44
             30        369360.000        20808518.199       109349486.166        50
              3        369360.000        23582402.752       123926332.234        44
             94        369360.000        40662596.634       211740817.598        38
             95        369360.000        35975847.203       187335671.342        48
             96        369360.000        36578281.942       190472704.183        45
             98        369360.000        35775880.359       186294388.826        47
             93        369360.000        39113982.540       203676767.185        42
            100        369360.000        22294252.545       116092018.606        49
            103        369360.000        36692806.447       191069068.813        47
             89        369360.000        37054745.898       192953781.536        46
             90        369360.000        37456762.706       195047187.956        43
             91        369360.000        36240005.318       188711214.020        47
             92        369360.000        38407049.318       199995577.873        42
              9        369360.000        25288453.303       132891725.116        37
             99        369360.000        25293303.975       131708869.002        43
              1        369361.000        20265245.491       106494537.008        51
              7        369361.000        20418058.653       107297608.813        49
              8        369361.000        23498488.180       123485385.314        44
             11        369361.000        20780519.098       109202345.427        49
             17        369361.000        23588187.586       123956773.529        44
             22        369361.000        23068361.061       121225019.437        44
             28        369361.000        23251083.704       122185264.230        44
             30        369361.000        20808462.131       109349191.659        50
              3        369361.000        23581989.147       123924159.813        44
             94        369361.000        40662475.407       211740186.428        38
             95        369361.000        35975993.715       187336434.505        48
             96        369361.000        36578442.222       190473538.505        45
             98        369361.000        35775918.627       186294589.033        47
             93        369361.000        39114019.691       203676960.284        42
            100        369361.000        22294356.234       116092558.613        49
            103        369361.000        36692904.395       191069579.133        47
             89        369361.000        37054792.944       192954025.693        46
             90        369361.000        37456802.230       195047393.060        43
             91        369361.000        36240049.607       188711444.294        47
             92        369361.000        38407092.996       199995805.578        42
              9        369361.000        25288796.322       132893528.943        37
             16        369361.000        25896769.325       136088441.269        14
             99        369361.000        25293062.743       131707612.606        43
              1        369362.000        20265441.422       106495566.287        51
              7        369362.000        20418365.219       107299219.126        49
              8        369362.000        23498915.169       123487628.131        44
             11        369362.000        20780903.910       109204368.167        49
             17        369362.000        23587992.091       123955746.603        44
             22        369362.000        23068138.762       121223851.408        44
             28        369362.000        23250690.498       122183196.008        44
             30        369362.000        20808406.011       109348897.831        50
              3        369362.000        23581575.646       123921987.450        44
             94        369362.000        40662354.111       211739555.096        38
